Designator,Mid X,Mid Y,Rotation,Layer
C1,132.35,-115.5,90.0,top
C10,113.05,-118.75,180.0,top
C11,113.5,-112.55,0.0,top
C12,113.55,-110.245,180.0,top
C13,98.7,-110.445,0.0,top
C2,103.65,-85.1,180.0,top
C3,105.6,-72.25,270.0,top
C4,113.6,-105.55,180.0,top
C5,98.7,-113.05,0.0,top
C6,98.605,-106.795,0.0,top
C7,103.95,-76.25,180.0,top
C8,113.55,-107.85,180.0,top
C9,103.6,-72.25,90.0,top
D1,182.8,-93.35,90.0,top
D2,184.8,-93.35,90.0,top
J1,125.75,-127.4,0.0,top
J10,106.375,-99.865,0.0,top
J11,160.875,-109.73,180.0,top
J12,99.275,-99.865,0.0,top
J13,112.745,-99.845,0.0,top
J14,98.775,-85.26,0.0,top
J15,185.15,-80.88,0.0,top
J16,170.775,-109.77,0.0,top
J17,174.325,-109.73,180.0,top
J18,164.475,-109.77,0.0,top
J19,105.8,-123.22,90.0,top
J2,130.215,-79.74,180.0,top
J20,181.55,-128.775,90.0,top
J3,134.015,-77.18,180.0,top
J4,125.945,-99.8,0.0,top
J5,122.205,-99.9,180.0,top
J6,130.505,-99.85,180.0,top
J7,133.905,-99.85,180.0,top
J8,98.775,-76.57,0.0,top
J9,102.83,-99.865,0.0,top
Q1,133.75,-106.6,180.0,top
Q2,122.35,-106.6,0.0,top
Q3,173.17,-97.75,0.0,top
R1,133.8,-120.35,0.0,top
R2,133.85,-123.8,0.0,top
R3,127.8,-105.65,0.0,top
R4,127.8,-107.6,180.0,top
R5,182.8,-100.35,270.0,top
R6,184.75,-100.35,270.0,top
R7,187.95,-103.6,270.0,top
R8,177.9,-102.95,270.0,top
U1,125.55,-115.15,0.0,top
U2,116.915,-79.1,0.0,top
U3,103.815,-80.73,270.0,top
U4,183.8625,-105.4,180.0,top
U5,105.4625,-109.72,90.0,top
U6,172.7625,-103.1,90.0,top
